yyyy,Index,D12,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,news,vix,diffdp,diffdy,diffde,difflty,diffbm,difftbl
1871,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1872,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.074134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0758,NaN,0.07078,NaN,NaN,NaN
1873,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.091715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2325113,0.02801,0.027869,NaN,NaN,NaN
1874,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.058314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.02679,0.1372011,0,NaN,NaN,NaN
1875,4.37,0.3,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.05715,-0.1220975,0.149812,NaN,NaN,NaN
1876,3.58,0.3,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1994002,0.03816,0.251314,NaN,NaN,NaN
1877,3.25,0.19,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3600506,-0.2573582,-0.525751,NaN,NaN,NaN
1878,3.45,0.18,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1137865,0.04264,-0.086857,NaN,NaN,NaN
1879,4.92,0.2,0.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2495738,0.04564,-0.098238,NaN,NaN,NaN
1880,5.84,0.26,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09094,-0.09257,0.00813,NaN,NaN,NaN
